source_string,translated_string,context
Activated,Aktiviert,
Activity Status,Aktivitätsstatus,
Affiliate App ID,Affiliate-App-ID,
Affiliate App ID is missing in SumUp Settings.,Die Affiliate-App-ID fehlt in den SumUp-Einstellungen.,
Affiliate Key,Affiliate-Schlüssel,
Affiliate Key is missing in SumUp Settings.,Der Affiliate-Schlüssel fehlt in den SumUp-Einstellungen.,
API Code,API-Code,
API Key,API-Schlüssel,
API code is required.,API-Code ist erforderlich.,
API code must be 8-9 alphanumeric characters.,API-Code muss 8-9 alphanumerische Zeichen haben.,
body {0},Body {0},
Connection Status,Verbindungsstatus,
Connection successful.,Verbindung erfolgreich.,
"Connection successful. Merchant code: {0}","Verbindung erfolgreich. Händlercode: {0}",
Debugging,Debugging,
Enable Debugging,Debugging aktivieren,
Enable detailed error output for troubleshooting. Only for advanced users.,Detaillierte Fehlermeldungen zur Fehleranalyse aktivieren. Nur für fortgeschrittene Nutzer.,
Enabled,Aktiviert,
Expired,Abgelaufen,
Fetch Merchant Code,Händlercode abrufen,
Fetching merchant code...,Händlercode wird abgerufen...,
Idle,Bereit,
Location,Standort,
Merchant Code,Händlercode,
Merchant code is missing in SumUp Settings.,Händlercode fehlt in den SumUp-Einstellungen.,
Merchant code not found in SumUp response.,Händlercode in der SumUp-Antwort nicht gefunden.,
Merchant code updated.,Händlercode aktualisiert.,
No terminals found.,Keine Terminals gefunden.,
Notes,Notizen,
Offline,Offline,
Online,Online,
Online Status,Online-Status,
Paired,Gekoppelt,
Pair,Koppeln,
Pair SumUp Terminal,SumUp-Terminal koppeln,
Pair Terminal,Terminal koppeln,
Pairing terminal...,Terminal wird gekoppelt...,
Processing,In Bearbeitung,
Reader ID not found in SumUp response.,Reader-ID in der SumUp-Antwort nicht gefunden.,
Refresh Status,Status aktualisieren,
Remove from SumUp,Aus SumUp entfernen,
Remove {0} terminal(s) from SumUp and delete locally?,{0} Terminal(s) von SumUp entfernen und lokal löschen?,
Removing terminals...,Terminals werden entfernt...,
Removed {0} terminal(s).,{0} Terminal(s) entfernt.,
"Removed {0} terminal(s), {1} failed.","{0} Terminal(s) entfernt, {1} fehlgeschlagen.",
Select at least one terminal.,Bitte mindestens ein Terminal auswählen.,
Select terminals to remove.,Bitte Terminals zum Entfernen auswählen.,
Selecting Tip,Trinkgeld wählen,
Shown on the terminal under Connections > API > Connect (8-9 letters/numbers).,Wird am Terminal unter Verbindungen > API > Verbinden angezeigt (8-9 Buchstaben/Zahlen).,
Status Update,Statusaktualisierung,
Status updated.,Status aktualisiert.,
status {0},Status {0},
SumUp API error: {0},SumUp-API-Fehler: {0},
SumUp API error: {0}{1},SumUp-API-Fehler: {0}{1},
SumUp API key is missing in SumUp Settings.,Der SumUp-API-Schlüssel fehlt in den SumUp-Einstellungen.,
SumUp client does not expose a merchant profile endpoint.,Der SumUp-Client stellt keinen Endpunkt für das Händlerprofil bereit.,
SumUp is disabled in settings.,SumUp ist in den Einstellungen deaktiviert.,
SumUp is disabled or missing credentials.,SumUp ist deaktiviert oder Anmeldedaten fehlen.,
SumUp Settings,SumUp-Einstellungen,
SumUp Terminal,SumUp-Terminal,
SumUp terminal status update failed,SumUp-Terminal-Statusaktualisierung fehlgeschlagen,
Terminal already exists.,Terminal existiert bereits.,
Terminal ID,Terminal-ID,
Terminal is required.,Terminal ist erforderlich.,
Terminal Name,Terminalname,
Terminal name is required.,Terminalname ist erforderlich.,
Terminal not found.,Terminal nicht gefunden.,
Terminal paired.,Terminal gekoppelt.,
Terminal paired and saved.,Terminal gekoppelt und gespeichert.,
Test Connection,Verbindung testen,
Testing connection...,Verbindung wird getestet...,
Unknown,Unbekannt,
Updated {0} terminal(s).,{0} Terminal(s) aktualisiert.,
"Updated {0} terminal(s), {1} failed.","{0} Terminal(s) aktualisiert, {1} fehlgeschlagen.",
Updating Firmware,Firmware wird aktualisiert,
Updating terminal status...,Terminalstatus wird aktualisiert...,
Waiting For Card,Warten auf Karte,
Waiting For Pin,Warten auf PIN,
Waiting For Signature,Warten auf Unterschrift,
SumUp Terminal is required when a payment method uses SumUp.,SumUp-Terminal ist erforderlich, wenn eine Zahlungsmethode SumUp verwendet.,
SumUp Terminal {0} does not exist.,SumUp-Terminal {0} existiert nicht.,
SumUp Terminal {0} is disabled.,SumUp-Terminal {0} ist deaktiviert.,
Use SumUp Terminal,SumUp-Terminal verwenden,
Merchant Currency,H?ndlerw?hrung,
SumUp merchant currency is missing. Please run Test Connection in SumUp Settings.,SumUp-H?ndlerw?hrung fehlt. Bitte Verbindungstest in den SumUp-Einstellungen ausf?hren.,
POS currency {0} does not match SumUp merchant currency {1}.,POS-W?hrung {0} stimmt nicht mit der SumUp-H?ndlerw?hrung {1} ?berein.,
Merchant code already set. Clear it to fetch again.,H?ndlercode ist bereits gesetzt. Zum erneuten Abruf bitte Feld leeren.,
Cannot remove terminal {0} because it is linked to POS Profile(s): {1}.,Terminal {0} kann nicht entfernt werden, da es mit POS-Profil(en) verkn?pft ist: {1}.,
Force Remove (Local Only),Lokal erzwingen entfernen,
Remove {0} terminal(s) locally only? This does not remove the terminal in SumUp.,{0} Terminal(s) nur lokal entfernen? Dies entfernt das Terminal nicht bei SumUp.,
Removing terminals locally...,Terminals werden lokal entfernt...,
Removed {0} terminal(s) locally.,{0} Terminal(s) lokal entfernt.,
